Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
Weight,-->,1,0,0,0,0,0,0,,,
min[1/ 1/ 1/ 0/ 1],MAX[1/ 1/ 4/ 1/ 1],,,,,,,,,,
1,26,0.6666667,0.3541667,0.375,1,0.1458333,0,0,0.5104167,0.375,0.3333333
1,27,0.6666667,0.3541667,0.25,0,0,0.5,0,0.5104167,0.7083334,0
1,28,0.4444444,0.5798611,0,0,0,0,0,0.5121528,0.9375,0.2222222
1,29,0.4444444,0.5798611,0.375,0,0,0,0,0.5121528,0.9375,0.2222222
1,30,0.4444444,0.5798611,0.25,0,0,0,0,0.5121528,0.9375,0.2222222
1,31,0.4444444,0.5798611,0,0,0,0,0,0.5121528,0.9375,0.2222222
1,32,0.4444444,0.5798611,0.25,0,0,0,0,0.5121528,0.9375,0.2222222
1,33,0.5925926,0.4375,0.125,0,0.25,0,0,0.5150463,0.875,0
1,34,0.5925926,0.4375,0.5,0,0,0,0,0.5150463,0.875,0
1,35,0.5925926,0.4375,0.25,0,0,0,0,0.5150463,0.875,0
1,36,0.5925926,0.4375,0.25,0,0,0,0,0.5150463,0.875,0
1,37,0.5925926,0.4375,0.125,0,0.08333334,0,0,0.5150463,0.875,0
1,38,0.5925926,0.4375,0.25,0,0.125,0,0,0.5150463,0.875,0
1,39,0.5185185,0.5173611,0.25,0,0,0,0.1428571,0.5179398,0.8125,0.2222222
1,40,0.2962963,0.7395834,0,0,0,0,0,0.5179398,0.8125,0.6666667
1,41,0.5185185,0.5173611,0.25,0,0.125,0,0.07142857,0.5179398,0.8125,0.2222222
1,42,0.6296296,0.40625,0.375,0,0,0,0.1428571,0.5179398,0.8125,0
1,43,0.6296296,0.40625,0.625,0,0,0,0.4285714,0.5179398,0.8125,0
1,44,0.5185185,0.5173611,0.125,0,0.125,0,0.1428571,0.5179398,0.8125,0.2222222
1,45,0.2962963,0.7395834,0,0,0,0,0,0.5179398,0.8125,0.6666667
1,46,0.7407407,0.2986111,0.75,1,0,0,0.2619048,0.5196759,0.375,0.2222222
1,47,0.7407407,0.2986111,0.25,1,0,0,0,0.5196759,0.375,0.2222222
1,48,0.6666667,0.3923611,0.125,0,0,0.6666667,0,0.5295139,0.5625,0.2222222
1,49,0.6666667,0.3923611,0.375,0,0,0.6666667,0,0.5295139,0.5625,0.2222222
1,50,0.6296296,0.4375,0.125,0,0,0,0,0.5335648,0.875,0
